RES_ID,rs,NUM_MAR,Age,LAND_DECIMAL,AN_INCOME
1VB9001002,5,1,62,51,44000
2D90025814,5,1,62,84,45000
1VBA019640,5,1,62,245,48000
1V72068140,7,1,62,30,48000
2V02005305,5,1,62,85,49000
1V28015602,11,1,62,360,49000
1K00004502,6,1,62,253,49000
1G00018203,5,1,62,43.5,50000
1D03067006,9,1,62,250,50000
4V21014002,9,2,62,420,50000
3D35006706,5,2,62,505,50000
4A00079801,8,1,62,50,56000
1V27004805,5,1,62,222,60000
1C00032004,5,1,62,120,60000
1V79001907,7,1,62,7,60000
1V50003704,3,2,62,0,60000
1V31105546,9,1,62,138,61000
3V72004809,7,1,62,20,70000
4V36122612,4,1,62,21,72000
1V35003715,6,1,62,8,81000
1VB0007206,6,1,62,150,85000
1N00021940,6,1,62,370,88000
2V54000313,3,1,62,3,96000
1W00005102,4,2,62,8,96000
1V32010010,3,1,62,108,96000
4C00017506,4,1,62,255,99000
1S00004241,6,1,62,130,100000
1V08009707,9,2,62,4920,100000
2V20010923,7,1,62,0,101000
1V30000904,4,1,62,265,108400
2DX0026205,5,2,62,255,118000
1VBA031142,4,1,62,15,120000
4U00016106,5,1,62,12,120000
4F00026304,5,1,62,60,120000
2V47021905,11,2,62,80,150000
2V09003806,7,1,62,120,180000
2V10022517,9,2,62,56,180000
3V59020308,7,1,62,0,180000
2V72084517,7,1,62,240,180000
4V84016907,7,1,62,45,184000
2VBA024605,5,1,62,124,245000
4V23009907,9,1,62,3,360000
1V05009502,5,1,63,373.5,2000
1V89013408,3,1,63,378,6600
1VB4031602,7,1,63,0,10000
1V72061903,2,1,63,30,12000
1V36052102,6,1,63,5,24000
1V25018303,4,2,63,257,25000
1G00003440,7,1,63,15,53000
1N00004940,3,1,63,67,79000
1V01008446,6,1,63,83,120000
1V32013202,4,1,63,492,145000
1V36023802,5,1,64,252,5000
1V63017002,3,2,64,368,12000
1V19008602,4,1,64,61,13116
1P00003202,5,1,64,11,14400
1V26027505,8,1,64,0,15000
2D88009109,6,1,64,207,15000
1V28015602,7,3,64,21,20000
2D28010708,11,1,64,160,20000
1V76015202,2,1,64,130,22800
1V05006406,5,1,64,75,30000
3D34003210,8,2,64,285,30000
2VBC065307,5,1,64,128,30000
4VBC078114,6,1,64,370,35000
1VBB020802,4,1,64,38.5,40000
1V63009340,9,1,64,0,48000
1V06012002,5,1,64,22.5,55000
1V30006901,3,1,64,4,60000
3V59002210,6,1,64,29,60000
4VBA022506,5,1,64,6,60000
4DX0057608,3,1,64,85,70000
4V26047708,6,1,64,30,74000
1D94011802,6,1,64,129,76000
1VBB038802,8,1,64,80,78000
2L00003407,4,1,64,4,92000
2V18030027,7,1,64,530,110000
1V60004604,6,1,64,260,164000
2D90060602,6,1,65,66,2000
1V72001602,6,1,65,480,3000
1V82011740,4,1,65,0,5000
3V95031808,8,1,65,18,5000
1DX1002205,5,1,65,510,5480
1VB0020341,7,1,65,26,10000
4C00039906,6,1,65,2880,12000
1D92002402,5,1,65,4.5,24000
1V84001208,2,2,65,126,25000
1DX1000507,4,2,65,246,25000
1D98005003,3,1,65,13.5,30000
1V34005542,7,1,65,52,30000
1VBB010907,6,1,65,265,40000
2V36056108,4,2,65,620,40000
2VB0018706,5,1,65,10.5,44000
1VBC001504,4,1,65,9,54000
1V31036302,6,1,65,72,57000
1V31008241,6,1,65,6,68000
1V26011502,2,2,65,267,68000
1V25016306,7,1,65,130,80000
1D34009001,1,1,65,7,84000
1V06019706,9,1,65,64,84000
2V64067008,9,1,65,252,92000
2V06022804,6,1,65,120,120000
1V95000702,6,1,65,19.5,180000
1V10013108,6,1,66,36,2000
1V07003202,6,1,66,35,3500
1V72057203,5,1,66,90,5000
1V29005342,2,1,66,38,9400
2V35040109,8,2,66,312,11000
1V87002806,4,1,66,27,12000
1V45008802,6,1,66,28,12000
1VB1013404,5,1,66,730,16800
1D58008603,7,1,66,612,24000
1VB2004241,8,1,66,0,24000
2U00082512,9,1,66,9,27000
1V76004809,7,1,66,600,30000
1N00023202,6,1,66,1926,44000
1V35028505,7,1,66,135,75000
4G00037906,12,1,66,420,100000
2V72020513,6,1,67,78,3000
2V16007109,7,1,67,258,3000
1D88027804,4,1,67,1.5,3600
1V76009843,4,1,67,84,5000
1VB5004304,5,1,67,24,7200
1V24008303,4,2,67,252,7400
1V65001843,5,2,67,1440,9000
3V24048105,6,1,67,62,10000
1V89002202,9,1,67,129,10000
1S00014802,4,1,67,40,12000
1V05026503,9,2,67,617,13000
4VB6011602,6,1,67,130.5,15000
1VBB007410,8,1,67,129,15000
1V21003302,5,1,67,36,16000
1V65001912,6,1,67,126,16000
