resId,age,noChildren,noSurvived15,totalLand,arableLand,landClass,cows,bulls,sheep,pigs,horses,otherLivestock,Nwives
1310,74,4,4,5.4,4,4,2,0,0,0,0,0,1
1689,76,8,8,5.4,3,4-5,0,0,0,0,0,0,1
106,72,6,6,5.5,0,0,0,0,0,0,0,0,1
1265,77,4,3,5.6,3,4-5,3,4,0,12,1,0,1
1889,54,5,5,5.7,2,4-5,1,0,0,0,0,0,1
1527,77,3,3,5.7,2.93,4-5,1,0,0,0,0,0,1
1616,88,8,8,5.82,4,4-5,3,0,0,2,1,0,1
1805,78,5,5,5.9,4.2,4-5,7,0,0,0,0,50,1
1965,51,9,9,6,4,4-5,2,0,3,0,0,0,1
858,61,2,2,6,3,5,0,0,50,0,2,50,1
1984,64,9,8,6,0,4-5,0,0,0,0,0,0,1
314,65,4,4,6,5,4-5,1,0,0,0,0,0,1
1909,67,6,6,6,5.6,4-5,2,0,0,0,0,0,1
374,68,1,1,6,1,5-6,1,4,0,2,0,0,1
1520,68,5,5,6,1,4-5,2,0,0,1,0,0,1
1143,69,8,7,6,2,4,2,0,0,0,0,0,1
1869,74,9,9,6,3.5,6,0,0,0,0,0,0,1
1766,76,5,5,6,2,4-5,4,0,0,0,1,0,1
1219,79,4,4,6,2,4-5,3,2,0,5,0,0,1
1267,84,5,5,6,3,4-5,2,1,0,0,0,0,1
199,67,8,7,6.2,4.15,5,2,0,0,1,0,0,1
1928,61,8,6,6.26,1,4-5,0,0,0,0,0,0,1
12,62,0,0,6.3,2.3,0,0,0,0,0,0,0,1
94,65,6,6,6.38,0,0,2,1,0,0,0,0,1
1460,38,1,1,6.5,3.5,5-6,0,0,0,0,0,0,1
120,68,3,3,6.5,2.5,0,1,0,0,1,0,0,1
89,55,5,5,7,0,0,1,0,0,0,2,2,1
1123,56,4,4,7,0,4,0,0,0,0,0,0,1
1214,61,2,2,7,2,4,3,0,0,0,0,0,1
1556,61,3,3,7,4,4-5,2,0,5,0,1,0,1
306,66,3,2,7,4.7,4,5,0,6,4,0,0,1
438,72,5,5,7,4,5-6,0,0,0,0,0,0,1
1424,75,4,4,7,3,5,1,0,0,0,0,0,1
1450,76,4,4,7,2,4-5,2,0,0,0,1,0,1
1633,77,4,4,7,2,4-5,5,0,0,0,0,0,1
1835,78,4,4,7,2,4-5,1,0,0,2,0,0,1
1797,80,4,4,7,2,4-6,3,0,0,1,1,9,1
1134,81,5,5,7,3,4-5,1,0,0,1,0,0,1
1961,87,3,3,7,0.5,3-4,1,0,0,0,0,0,1
259,65,3,3,7.2,3.8,4,12,0,0,0,0,0,1
1479,35,4,4,7.4,2.2,0,0,0,0,0,0,0,1
1988,69,5,5,7.44,4.64,5-6,2,1,0,0,0,0,1
1874,64,2,2,7.6,5.6,4-5,1,0,0,0,0,0,1
121,59,6,6,7.7,0,0,2,0,0,0,1,0,1
1530,63,3,3,8,5,6,1,1,0,0,0,0,1
1643,81,7,7,8,4.5,4-5,4,0,0,0,0,0,1
421,78,8,8,8.05,0,0,0,0,0,0,0,0,1
1453,65,3,3,8.16,3,5-6,2,0,0,0,0,0,1
1361,73,1,1,8.2,2.8,4-5,1,0,0,0,0,0,1
1156,62,6,3,8.32,2,4-5,0,0,0,0,0,0,1
101,61,9,9,8.5,0,0,2,0,0,0,0,0,1
1905,74,10,10,8.56,3,4-5,3,0,0,0,2,0,1
1758,77,6,5,8.7,3,5-6,4,0,0,0,0,2,1
1488,61,4,4,9,2,5-6,0,0,5,0,1,0,1
1959,63,5,5,9,6,5-6,3,1,0,1,0,0,1
99,67,7,7,9,0,0,1,0,0,0,0,0,1
1933,74,5,5,9.1,1.6,5-6,1,6,0,0,0,0,1
71,74,3,3,9.17,0,0,3,0,0,2,1,0,1
1207,73,3,3,9.8,3.5,4-6,5,0,0,0,0,0,1
628,51,2,2,10,6,4-5,3,6,0,12,1,0,1
1815,52,5,5,10,1.8,5-6,0,0,0,0,0,0,1
1533,76,6,6,10,0,5-6,0,0,0,0,0,0,1
326,78,2,2,10,7.2,4-5,4,4,0,20,0,0,1
109,82,4,3,10,4,0,2,0,20,0,0,0,1
1871,88,8,8,10,4,4,6,5,0,0,0,0,1
1296,82,0,0,10.3,5.5,4-5,0,0,0,0,0,0,1
