ID,Age,Wives,WealthRatio,rs
16911,56,1,23.85,0
18074,56,1,0.01,0
18787,56,1,0.01,6
18877,56,1,12.04,8
19855,56,0,1.05,0
20203,56,1,145.34,10
20892,56,1,0.01,9
20953,56,0,0.01,0
21825,56,0,0.009242144,0
21987,56,1,1.3,3
22033,56,1,0.01,1
22119,56,1,0.01,7
22307,56,1,0.01,1
22865,56,1,0.01,0
22918,56,1,2.72,2
23273,56,1,0.01,2
23799,56,0,0.01,0
24293,56,1,6104.65,0
27373,56,1,0.01,5
27673,56,0,13.34,0
28003,56,1,0.01,4
28868,56,0,0.06,0
62498,56,1,0.02,4
100723,56,1,41.23,2
100918,56,0,0.01,0
100931,56,1,1.03,5
101059,56,1,499.32,4
104294,56,1,64.93,0
104656,56,1,17.21,0
105680,56,1,0.01,8
108030,56,1,0.01,4
108564,56,1,2.44,3
400450,56,1,509.12,0
400516,56,1,0.18,0
400597,56,1,309.27,0
401100,56,1,240.54,0
401512,56,1,0.01,0
401530,56,1,0.01,0
401650,56,1,11.62,0
401816,56,1,3.74,5
402260,56,2,5.15,0
403282,56,1,0.01,0
3212,57,1,13.74,1
7578,57,2,0.02,1
7644,57,0,0.01,0
7892,57,2,0.01,0
7994,57,1,48.1,3
8355,57,0,0.009242144,1
9400,57,1,0.01,8
10444,57,1,0.01,4
11870,57,0,0.01,0
12125,57,2,0.01,0
12160,57,1,1.3,2
12528,57,2,34.88,0
13177,57,1,0.01,0
13274,57,1,174.41,4
13801,57,1,87.2,6
14754,57,1,0.01,2
14822,57,0,0.01,0
14925,57,0,0.01,0
15576,57,1,0.35,4
15795,57,1,0.01,3
16248,57,0,0.01,0
16646,57,1,0.01,10
17033,57,0,19.56,0
17074,57,0,0.01,0
17086,57,1,0.01,0
17592,57,0,0.009242144,0
17713,57,1,2.06,7
19354,57,1,0.009242144,0
19805,57,1,96.36,10
20897,57,2,0.01,8
21029,57,1,0.01,3
21575,57,0,0.01,0
22026,57,1,17.4,5
22416,57,1,0.009242144,0
22863,57,0,0.01,0
23021,57,1,0.01,4
23959,57,1,274.52,7
24092,57,1,85.91,3
24232,57,1,0.008077544,0
24285,57,1,6.87,1
24614,57,2,0.01,4
26292,57,2,0.01,1
26674,57,1,0.38,5
28071,57,0,0.009242144,0
28483,57,0,0.009242144,0
28592,57,1,0.009242144,0
29631,57,1,0.58,3
29752,57,1,61.85,8
29887,57,1,17.18,6
62172,57,1,0.016155089,4
100715,57,0,34.36,0
100930,57,1,2.74,3
101541,57,1,48.1,1
102626,57,1,0.01,0
105712,57,1,0.01,9
108553,57,1,0.01,0
400036,57,1,5.34,0
400330,57,1,85.91,0
400505,57,1,10.66,0
400633,57,1,2.32,0
400793,57,1,13.61,0
400987,57,1,1.25,0
401350,57,1,72.67,0
401351,57,1,2.57,0
401426,57,1,0.009242144,0
401600,57,1,0.01,0
285,58,2,85.91,5
7394,58,1,6.82,4
7780,58,2,80.28,5
7876,58,1,0.009242144,4
7902,58,1,67.27,8
8311,58,1,0.01,8
10622,58,1,121.21,0
11534,58,3,0.01,0
14102,58,0,0.008077544,0
14116,58,2,0.01,6
15231,58,0,2.06,0
16279,58,1,0.33,1
17006,58,1,1264.91,3
17257,58,1,116.8,4
18755,58,1,0.46,0
19353,58,0,4.63,0
19934,58,0,0.01,0
20905,58,2,0.02,1
21339,58,1,5232.55,1
21836,58,0,0.01,0
22014,58,1,0.01,3
22083,58,1,0.01,0
22594,58,2,0.02,0
23324,58,1,0.29,4
23643,58,1,0.01,1
24257,58,1,33.77,3
24348,58,1,0.01,1
25087,58,1,2.53,5
25118,58,1,137.45,0
25664,58,2,0.009242144,9
